province,fsa,population_2016,lim_at_prevalence,lim_at_count,sac_rural_category,clc_rural_indicator,clc_rural_label,clc_low_income_indicator,clc_low_income_label,female,black,indigenous,unemployment_rate,youth_15_to_24,youth_15_to_29,french_speakers,french_first_official_language,immigrant
Nova Scotia,B0T,14607,0.245,3485,6,1,Rural,1,Low Income,7490,305,1190,0.127,1315,1845,610,90,575
Nova Scotia,B0V,5809,0.27399999999999997,1560,6,1,Rural,1,Low Income,3085,150,295,0.17,575,800,440,115,220
Nova Scotia,B0W,26951,0.16699999999999998,4450,6,1,Rural,0,Not Low Income,13610,275,4680,0.113,2680,3805,11570,8520,690
Nova Scotia,B5A,15479,0.24,3575,6,1,Rural,1,Low Income,8190,450,2445,0.095,1690,2385,2510,1100,680
Nova Scotia,B2G,14361,0.139,1960,6,1,Rural,0,Not Low Income,7485,335,585,0.10800000000000001,1870,2580,1720,410,790
New Brunswick,E1W,6935,0.18100000000000002,1225,6,1,Rural,0,Not Low Income,3585,10,195,0.11699999999999999,595,865,6740,6640,80
New Brunswick,E3L,8618,0.23199999999999998,1960,6,1,Rural,1,Low Income,4540,45,175,0.13,900,1300,790,145,540
New Brunswick,E3Y,7355,0.18,1285,6,1,Rural,0,Not Low Income,3750,10,300,0.11599999999999999,700,1065,6735,6265,150
New Brunswick,E3Z,4080,0.184,745,6,1,Rural,0,Not Low Income,2130,0,60,0.114,415,585,3230,2750,110
New Brunswick,E5A,1698,0.26,440,5,1,Rural,1,Low Income,835,0,35,0.16699999999999998,185,250,95,20,50
New Brunswick,E5E,872,0.231,195,7,1,Rural,1,Low Income,455,0,10,0.228,85,115,25,10,290
New Brunswick,E5G,2505,0.156,385,6,1,Rural,0,Not Low Income,1265,10,100,0.10800000000000001,280,415,100,20,85
New Brunswick,E6J,1185,0.23,265,5,1,Rural,1,Low Income,615,0,10,0.035,120,165,35,15,25
New Brunswick,E7H,5577,0.265,1195,6,1,Rural,1,Low Income,2895,0,1205,0.16899999999999998,620,845,640,235,305
New Brunswick,E7J,2069,0.217,440,6,1,Rural,1,Low Income,1060,0,85,0.13,260,345,125,20,75
New Brunswick,E7K,2564,0.228,580,6,1,Rural,1,Low Income,1300,15,60,0.087,300,435,160,30,90
New Brunswick,E7M,9908,0.18899999999999997,1765,6,1,Rural,0,Not Low Income,5140,80,555,0.075,1110,1635,1065,150,665
New Brunswick,E7P,3591,0.191,660,6,1,Rural,0,Not Low Income,1830,0,40,0.08800000000000001,400,545,215,55,120
New Brunswick,E8A,3679,0.174,615,5,1,Rural,0,Not Low Income,1800,10,90,0.132,410,585,3570,3535,30
New Brunswick,E8S,4578,0.175,765,6,1,Rural,0,Not Low Income,2355,30,175,0.12,455,655,4485,4425,25
New Brunswick,E8T,5758,0.193,1090,6,1,Rural,0,Not Low Income,2890,15,485,0.12,485,700,5655,5520,30
Quebec,G0A,86140,0.087,7120,1,0,Not Rural,0,Not Low Income,42275,250,2580,0.05,7880,12385,84865,83385,1645
Quebec,G0C,47114,0.17300000000000001,7635,6,1,Rural,0,Not Low Income,24055,65,6165,0.161,4270,6150,43005,40235,540
Quebec,G0E,4773,0.209,980,6,1,Rural,1,Low Income,2350,10,225,0.217,340,495,4740,4705,30
